"Estaciones","Fecha","LAeq24h"
"Estación 1","2020-03-18","62,4"
"Estación 2","2020-03-18","64,8"
"Estación 3","2020-03-18","61,8"
"Estación 5","2020-03-18","57,5"
"Estación 6","2020-03-18","64,9"
"Estación 8","2020-03-18","60,0"
"Estación 10","2020-03-18","59,0"
"Estación 11","2020-03-18","62,9"
"Estación 12","2020-03-18","60,4"
"Estación 13","2020-03-18","54,3"
"Estación 14","2020-03-18","59,9"
"Estación 16","2020-03-18","58,3"
"Estación 17","2020-03-18","51,4"
"Estación 18","2020-03-18","52,0"
"Estación 19","2020-03-18","55,8"
"Estación 20","2020-03-18","59,6"
"Estación 24","2020-03-18","45,8"
"Estación 25","2020-03-18","64,4"
"Estación 26","2020-03-18","56,6"
"Estación 27","2020-03-18","57,0"
"Estación 28","2020-03-18","62,4"
"Estación 29","2020-03-18","52,0"
"Estación 30","2020-03-18","55,3"
"Estación 31","2020-03-18","56,5"
"Estación 47","2020-03-18","51,9"
"Estación 48","2020-03-18","57,6"
"Estación 50","2020-03-18","60,7"
"Estación 54","2020-03-18","56,0"
"Estación 55","2020-03-18","51,5"
"Estación 86","2020-03-18","53,1"
