"Estaciones","Fecha","LAeq24h"
"Estación 1","2020-04-18","60,2"
"Estación 2","2020-04-18","62,3"
"Estación 3","2020-04-18","57,0"
"Estación 5","2020-04-18","54,3"
"Estación 6","2020-04-18","61,8"
"Estación 8","2020-04-18","57,4"
"Estación 10","2020-04-18","56,3"
"Estación 11","2020-04-18","61,2"
"Estación 12","2020-04-18","58,8"
"Estación 13","2020-04-18","51,6"
"Estación 14","2020-04-18","57,6"
"Estación 16","2020-04-18","55,2"
"Estación 17","2020-04-18","52,0"
"Estación 18","2020-04-18","52,1"
"Estación 19","2020-04-18","54,9"
"Estación 20","2020-04-18","55,7"
"Estación 24","2020-04-18","48,3"
"Estación 25","2020-04-18","60,4"
"Estación 26","2020-04-18","55,3"
"Estación 27","2020-04-18","54,4"
"Estación 28","2020-04-18","60,1"
"Estación 29","2020-04-18","50,7"
"Estación 30","2020-04-18","54,0"
"Estación 31","2020-04-18","56,3"
"Estación 47","2020-04-18","49,9"
"Estación 48","2020-04-18","57,2"
"Estación 50","2020-04-18","59,6"
"Estación 54","2020-04-18","56,7"
"Estación 55","2020-04-18","49,2"
"Estación 86","2020-04-18","53,1"
